1,1,6.8,9,1.98,1,0.9,0.1,0.1
25,1,6.7,9,1.985,1,0.9,0.1,0.1
22,3,12.7,3,1.995,2,0.1,0.9,0.1
8,3,11.1,3,2.002,1,0.9,0.1,0.1
20,1,8.3,5,2.007,1,0.9,0.1,0.1
5,1,7.3,5,1.988,1,0.9,0.1,0.1
0,2,8.3,9,1.978,2,0.1,0.9,0.1
5,3,11,10,2.004,2,0.1,0.9,0.1
17,3,11.2,10,2.003,2,0.1,0.9,0.1
9,3,12.1,3,1.984,3,0.1,0.1,0.9
25,2,8.4,11,1.985,1,0.9,0.1,0.1
20,3,11,10,2.003,2,0.1,0.9,0.1
25,1,6.7,9,1.985,1,0.9,0.1,0.1
24,4,17.7,1,1.995,3,0.1,0.1,0.9
10,2,9.1,9,1.98,2,0.1,0.9,0.1
22,1,6.4,11,1.987,1,0.9,0.1,0.1
8,3,12.3,3,1.996,2,0.1,0.9,0.1
13,4,13,1,2,2,0.1,0.9,0.1
17,4,12.8,10,2.004,2,0.1,0.9,0.1
8,3,12.6,3,1.996,2,0.1,0.9,0.1
13,2,9.1,5,2.002,2,0.1,0.9,0.1
23,1,6.7,3,1.97,1,0.9,0.1,0.1
22,3,11.9,3,1.997,2,0.1,0.9,0.1
9,1,6.7,9,1.978,1,0.9,0.1,0.1
25,1,6.7,9,1.985,1,0.9,0.1,0.1
4,2,9.2,9,1.978,2,0.1,0.9,0.1
9,3,11.9,3,1.979,3,0.1,0.1,0.9
5,3,11,10,2.002,2,0.1,0.9,0.1
15,2,8.2,3,1.975,2,0.1,0.9,0.1
